date,Unemployment_Rate,Prime_Rate,CPI_Inflation,BBB_Spread,d_Unemployment,d_Prime,d_CPI,d_BBB_Spread,d_Unemployment_lag1,d_Unemployment_lag2,d_Prime_lag1,d_BBB_Spread_lag1,scenario,logit_DR,PD,d_logit_DR
2026-01-01,4.6,6.6,3.0,5.2,,,,,,,,,baseline,-3.3348316376439757,0.03439539872124796,0.18690661999873387
2026-04-01,4.6,6.4,2.7,5.3,0.0,-0.1999999999999993,-0.2999999999999998,0.09999999999999964,,,,,baseline,-3.188778112591164,0.039590213038005674,0.14605352505281177
2026-07-01,4.6,6.2,2.6,5.3,0.0,-0.20000000000000018,-0.10000000000000009,0.0,0.0,,-0.1999999999999993,0.09999999999999964,baseline,-3.070379517182561,0.04434574117432567,0.11839859540860279
2026-10-01,4.5,6.1,2.5,5.4,-0.09999999999999964,-0.10000000000000053,-0.10000000000000009,0.10000000000000053,0.0,0.0,-0.20000000000000018,0.0,baseline,-2.9725099683252894,0.04868334636834645,0.09786954885727181
2027-01-01,4.5,6.1,2.5,5.4,0.0,0.0,0.0,0.0,-0.09999999999999964,0.0,-0.10000000000000053,0.10000000000000053,baseline,-2.8908096864091717,0.052609747454111136,0.08170028191611747
2027-04-01,4.4,6.1,2.3,5.5,-0.09999999999999964,0.0,-0.20000000000000018,0.09999999999999964,0.0,-0.09999999999999964,0.0,0.0,baseline,-2.8206067337969642,0.05622073163200907,0.07020295261220742
2027-07-01,4.3,6.1,2.4,5.5,-0.10000000000000053,0.0,0.10000000000000009,0.0,-0.09999999999999964,0.0,0.0,0.09999999999999964,baseline,-2.760228461108864,0.0595115777328135,0.06037827268810016
2027-10-01,4.3,6.1,2.3,5.6,0.0,0.0,-0.10000000000000009,0.09999999999999964,-0.10000000000000053,-0.09999999999999964,0.0,0.0,baseline,-2.7054028498499645,0.06265529801540923,0.05482561125889947
2028-01-01,4.3,6.1,2.2,5.6,0.0,0.0,-0.09999999999999964,0.0,0.0,-0.10000000000000053,0.0,0.09999999999999964,baseline,-2.660931637440316,0.06531843211858995,0.04447121240964867
2028-04-01,4.3,6.0,2.2,5.6,0.0,-0.09999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,baseline,-2.6240840287968368,0.06760440565168176,0.03684760864347907
2028-07-01,4.3,6.0,2.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999964,0.0,baseline,-2.590667674583447,0.06974145331758143,0.03341635421338943
2028-10-01,4.3,6.0,2.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,-2.5601500064011167,0.07174755121960893,0.030517668182330607
2029-01-01,4.2,6.0,2.2,5.6,-0.09999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,-2.5323503079970893,0.07362119226190225,0.02779969840402751
