date,Unemployment_Rate,Prime_Rate,CPI_Inflation,BBB_Spread,d_Unemployment,d_Prime,d_CPI,d_BBB_Spread,d_Unemployment_lag1,d_Unemployment_lag2,d_Prime_lag1,d_BBB_Spread_lag1,scenario,logit_DR,PD,d_logit_DR
2026-01-01,5.9,5.5,2.5,7.5,,,,,,,,,severely_adverse,-3.2575711606439754,0.037055779334415395,0.26416709699873386
2026-04-01,7.2,3.1,1.8,8.2,1.2999999999999998,-2.4,-0.7,0.6999999999999993,,,,,severely_adverse,-3.1055791267097637,0.04287770716163367,0.1519920339342117
2026-07-01,8.2,3.1,1.1,8.1,0.9999999999999991,0.0,-0.7,-0.09999999999999964,1.2999999999999998,,-2.4,0.6999999999999993,severely_adverse,-2.9701194731753793,0.048794177554845615,0.13545965353438427
2026-10-01,9.0,3.1,1.0,7.9,0.8000000000000007,0.0,-0.10000000000000009,-0.1999999999999993,0.9999999999999991,1.2999999999999998,0.0,-0.09999999999999964,severely_adverse,-2.853554261786847,0.054497883435826615,0.1165652113885324
2027-01-01,9.5,3.1,1.1,7.5,0.5,0.0,0.10000000000000009,-0.40000000000000036,0.8000000000000007,0.9999999999999991,0.0,-0.1999999999999993,severely_adverse,-2.7641554462224556,0.05929216439424095,0.08939881556439118
2027-04-01,9.9,3.1,1.1,7.1,0.40000000000000036,0.0,0.0,-0.40000000000000036,0.5,0.8000000000000007,0.0,-0.40000000000000036,severely_adverse,-2.6943167545168465,0.06330954547118568,0.0698386917056091
2027-07-01,10.0,3.1,1.1,6.7,0.09999999999999964,0.0,0.0,-0.39999999999999947,0.40000000000000036,0.5,0.0,-0.40000000000000036,severely_adverse,-2.6443255293891452,0.06633961494801444,0.049991225127701364
2027-10-01,9.8,3.1,1.1,6.3,-0.1999999999999993,0.0,0.0,-0.40000000000000036,0.09999999999999964,0.40000000000000036,0.0,-0.39999999999999947,severely_adverse,-2.6072694384948947,0.06867203447700451,0.03705609089425045
2028-01-01,9.4,3.1,1.1,5.9,-0.40000000000000036,0.0,0.0,-0.39999999999999947,-0.1999999999999993,0.09999999999999964,0.0,-0.40000000000000036,severely_adverse,-2.583778330433958,0.07018974436536356,0.0234911080609366
2028-04-01,9.1,3.1,1.2,5.5,-0.3000000000000007,0.0,0.09999999999999987,-0.40000000000000036,-0.40000000000000036,-0.1999999999999993,0.0,-0.39999999999999947,severely_adverse,-2.574989967278445,0.07076547158219074,0.008788363155513288
2028-07-01,8.7,3.1,1.2,5.2,-0.40000000000000036,0.0,0.0,-0.2999999999999998,-0.3000000000000007,-0.40000000000000036,0.0,-0.40000000000000036,severely_adverse,-2.57835017140355,0.07054483066293775,-0.0033602041251051557
2028-10-01,8.4,3.1,1.3,4.8,-0.29999999999999893,0.0,0.10000000000000009,-0.40000000000000036,-0.40000000000000036,-0.3000000000000007,0.0,-0.2999999999999998,severely_adverse,-2.5908410432841147,0.06973020641428565,-0.012490871880564856
2029-01-01,8.0,3.1,1.3,4.5,-0.40000000000000036,0.0,0.0,-0.2999999999999998,-0.29999999999999893,-0.40000000000000036,0.0,-0.40000000000000036,severely_adverse,-2.609029261664065,0.0685595682965032,-0.018188218379950306
